id,date,product_name,category_name,supplier_name,quantity,customer_name,employee_name,shipper_name
306,1996-11-25,"NuNuCa Nuss-Nougat-Creme",Confections,"Heli Susswaren GmbH and Co. KG",50,"Bon app","Janet Leverling","Speedy Express"
249,1996-10-29,"Ipoh Coffee",Beverages,"Leka Trading",40,"Bon app","Nancy Davolio","Federal Shipping"
248,1996-10-29,"Jacks New England Clam Chowder",Seafood,"New England Seafood Cannery",12,"Bon app","Nancy Davolio","Federal Shipping"
223,1996-10-16,Tourtiere,Meat/Poultry,"Ma Maison",15,"Bon app","Anne Dodsworth","Speedy Express"
308,1996-11-25,Tourtiere,Meat/Poultry,"Ma Maison",24,"Bon app","Janet Leverling","Speedy Express"
247,1996-10-29,"Carnarvon Tigers",Seafood,"Pavlova, Ltd.",20,"Bon app","Nancy Davolio","Federal Shipping"
436,1997-01-10,"Jacks New England Clam Chowder",Seafood,"New England Seafood Cannery",25,"Bottom-Dollar Marketse","Anne Dodsworth","Federal Shipping"
488,1997-01-30,"Zaanse koeken",Confections,"Zaanse Snoepfabriek",30,"Bottom-Dollar Marketse","Margaret Peacock","United Package"
487,1997-01-30,"Boston Crab Meat",Seafood,"New England Seafood Cannery",50,"Bottom-Dollar Marketse","Margaret Peacock","United Package"
377,1996-12-20,"Tarte au sucre",Confections,"Forets derables",20,"Bottom-Dollar Marketse","Margaret Peacock","United Package"
375,1996-12-20,Ikura,Seafood,"Tokyo Traders",16,"Bottom-Dollar Marketse","Margaret Peacock","United Package"
486,1997-01-30,"Alice Mutton",Meat/Poultry,"Pavlova, Ltd.",50,"Bottom-Dollar Marketse","Margaret Peacock","United Package"
437,1997-01-10,"Gula Malacca",Condiments,"Leka Trading",40,"Bottom-Dollar Marketse","Anne Dodsworth","Federal Shipping"
435,1997-01-10,"Raclette Courdavault","Dairy Products","Gai paturage",16,"Bottom-Dollar Marketse","Janet Leverling","Federal Shipping"
378,1996-12-20,"Outback Lager",Beverages,"Pavlova, Ltd.",30,"Bottom-Dollar Marketse","Margaret Peacock","United Package"
376,1996-12-20,"Pate chinois",Meat/Poultry,"Ma Maison",15,"Bottom-Dollar Marketse","Margaret Peacock","United Package"
434,1997-01-10,Geitost,"Dairy Products","Norske Meierier",49,"Bottom-Dollar Marketse","Janet Leverling","Federal Shipping"
438,1997-01-10,"Raclette Courdavault","Dairy Products","Gai paturage",9,"Bottom-Dollar Marketse","Anne Dodsworth","Federal Shipping"
111,1996-08-26,"Wimmers gute Semmelknodel",Grains/Cereals,"Plutzer Lebensmittelgrossmarkte AG",9,"Bs Beverages","Robert King","Federal Shipping"
110,1996-08-26,"Aniseed Syrup",Condiments,"Exotic Liquid",30,"Bs Beverages","Robert King","Federal Shipping"
34,1996-07-18,"Gravad lax",Seafood,"Svensk Sjofoda AB",1,"Centro comercial Moctezuma","Margaret Peacock","Federal Shipping"
33,1996-07-18,"Sir Rodneys Scones",Confections,"Specialty Biscuits, Ltd.",10,"Centro comercial Moctezuma","Margaret Peacock","Federal Shipping"
19,1996-07-11,"Pate chinois",Meat/Poultry,"Ma Maison",21,"Chop-suey Chinese","Steven Buchanan","United Package"
20,1996-07-11,"Longlife Tofu",Produce,"Tokyo Traders",21,"Chop-suey Chinese","Steven Buchanan","United Package"
329,1996-12-03,"Longlife Tofu",Produce,"Tokyo Traders",20,"Chop-suey Chinese","Michael Suyama","United Package"
18,1996-07-11,"Guarana Fantastica",Beverages,"Refrescos Americanas LTDA",15,"Chop-suey Chinese","Steven Buchanan","United Package"
328,1996-12-03,"Wimmers gute Semmelknodel",Grains/Cereals,"Plutzer Lebensmittelgrossmarkte AG",30,"Chop-suey Chinese","Michael Suyama","United Package"
327,1996-12-03,Chais,Beverages,"Exotic Liquid",15,"Chop-suey Chinese","Michael Suyama","United Package"
114,1996-08-27,Maxilaku,Confections,"Karkki Oy",15,"Comercio Mineiro","Laura Callahan","Speedy Express"
115,1996-08-27,"Original Frankfurter grune Sosse",Condiments,"Plutzer Lebensmittelgrossmarkte AG",10,"Comercio Mineiro","Laura Callahan","Speedy Express"
113,1996-08-27,"Thuringer Rostbratwurst",Meat/Poultry,"Plutzer Lebensmittelgrossmarkte AG",15,"Comercio Mineiro","Laura Callahan","Speedy Express"
112,1996-08-27,"Chef Antons Gumbo Mix",Condiments,"New Orleans Cajun Delights",20,"Comercio Mineiro","Laura Callahan","Speedy Express"
496,1997-02-04,"Mozzarella di Giovanni","Dairy Products","Formaggi Fortini s.r.l.",10,"Consolidated Holdings","Laura Callahan","United Package"
495,1997-02-04,"Gustafs Knackebrod",Grains/Cereals,"PB Knackebrod AB",12,"Consolidated Holdings","Laura Callahan","United Package"
494,1997-02-04,Chang,Beverages,"Exotic Liquid",10,"Consolidated Holdings","Laura Callahan","United Package"
311,1996-11-26,Lakkalikoori,Beverages,"Karkki Oy",12,"Drachenblut Delikatessend","Margaret Peacock","Federal Shipping"
310,1996-11-26,"Rhonbrau Klosterbier",Beverages,"Plutzer Lebensmittelgrossmarkte AG",12,"Drachenblut Delikatessend","Margaret Peacock","Federal Shipping"
309,1996-11-26,"Gorgonzola Telino","Dairy Products","Formaggi Fortini s.r.l.",20,"Drachenblut Delikatessend","Margaret Peacock","Federal Shipping"
383,1996-12-23,Konbu,Seafood,Mayumis,18,"Drachenblut Delikatessend","Janet Leverling","Federal Shipping"
172,1996-09-20,Gudbrandsdalsost,"Dairy Products","Norske Meierier",7,"Du monde entier","Nancy Davolio","Federal Shipping"
171,1996-09-20,"Singaporean Hokkien Fried Mee",Grains/Cereals,"Leka Trading",6,"Du monde entier","Nancy Davolio","Federal Shipping"
312,1996-11-26,Gudbrandsdalsost,"Dairy Products","Norske Meierier",30,"Eastern Connection","Nancy Davolio","Speedy Express"
408,1997-01-01,Maxilaku,Confections,"Karkki Oy",30,"Eastern Connection","Nancy Davolio","Federal Shipping"
313,1996-11-26,Flotemysost,"Dairy Products","Norske Meierier",5,"Eastern Connection","Nancy Davolio","Speedy Express"
407,1997-01-01,"Steeleye Stout",Beverages,"Bigfoot Breweries",35,"Eastern Connection","Nancy Davolio","Federal Shipping"
406,1997-01-01,"Thuringer Rostbratwurst",Meat/Poultry,"Plutzer Lebensmittelgrossmarkte AG",21,"Eastern Connection","Nancy Davolio","Federal Shipping"
416,1997-01-03,Chocolade,Confections,"Zaanse Snoepfabriek",70,"Ernst Handel","Margaret Peacock","Federal Shipping"
323,1996-11-29,"Ravioli Angelo",Grains/Cereals,"Pasta Buttini s.r.l.",25,"Ernst Handel","Andrew Fuller","United Package"
380,1996-12-23,"Steeleye Stout",Beverages,"Bigfoot Breweries",40,"Ernst Handel","Michael Suyama","Speedy Express"
355,1996-12-13,"Thuringer Rostbratwurst",Meat/Poultry,"Plutzer Lebensmittelgrossmarkte AG",14,"Ernst Handel","Margaret Peacock","Speedy Express"
321,1996-11-29,"Sir Rodneys Scones",Confections,"Specialty Biscuits, Ltd.",5,"Ernst Handel","Andrew Fuller","United Package"
276,1996-11-11,"Jacks New England Clam Chowder",Seafood,"New England Seafood Cannery",13,"Ernst Handel","Nancy Davolio","Speedy Express"
482,1997-01-30,"Alice Mutton",Meat/Poultry,"Pavlova, Ltd.",45,"Ernst Handel","Margaret Peacock","Speedy Express"
415,1997-01-03,Pavlova,Confections,"Pavlova, Ltd.",21,"Ernst Handel","Margaret Peacock","Federal Shipping"
356,1996-12-13,Geitost,"Dairy Products","Norske Meierier",60,"Ernst Handel","Margaret Peacock","Speedy Express"
32,1996-07-17,"Mascarpone Fabioli","Dairy Products","Formaggi Fortini s.r.l.",6,"Ernst Handel","Nancy Davolio","Speedy Express"
324,1996-11-29,"Wimmers gute Semmelknodel",Grains/Cereals,"Plutzer Lebensmittelgrossmarkte AG",35,"Ernst Handel","Andrew Fuller","United Package"
354,1996-12-13,"Carnarvon Tigers",Seafood,"Pavlova, Ltd.",9,"Ernst Handel","Margaret Peacock","Speedy Express"
44,1996-07-23,Pavlova,Confections,"Pavlova, Ltd.",60,"Ernst Handel","Anne Dodsworth","Federal Shipping"
485,1997-01-30,"Raclette Courdavault","Dairy Products","Gai paturage",70,"Ernst Handel","Margaret Peacock","Speedy Express"
322,1996-11-29,"Rossle Sauerkraut",Produce,"Plutzer Lebensmittelgrossmarkte AG",13,"Ernst Handel","Andrew Fuller","United Package"
46,1996-07-23,"Nord-Ost Matjeshering",Seafood,"Nord-Ost-Fisch Handelsgesellschaft mbH",60,"Ernst Handel","Anne Dodsworth","Federal Shipping"
414,1997-01-02,Vegie-spread,Condiments,"Pavlova, Ltd.",65,"Ernst Handel","Laura Callahan","United Package"
483,1997-01-30,"Sir Rodneys Scones",Confections,"Specialty Biscuits, Ltd.",50,"Ernst Handel","Margaret Peacock","Speedy Express"
357,1996-12-13,"Longlife Tofu",Produce,"Tokyo Traders",50,"Ernst Handel","Margaret Peacock","Speedy Express"
278,1996-11-11,"Louisiana Fiery Hot Pepper Sauce",Condiments,"New Orleans Cajun Delights",10,"Ernst Handel","Nancy Davolio","Speedy Express"
484,1997-01-30,"Gnocchi di nonna Alice",Grains/Cereals,"Pasta Buttini s.r.l.",30,"Ernst Handel","Margaret Peacock","Speedy Express"
382,1996-12-23,"Mozzarella di Giovanni","Dairy Products","Formaggi Fortini s.r.l.",24,"Ernst Handel","Michael Suyama","Speedy Express"
379,1996-12-23,"Gorgonzola Telino","Dairy Products","Formaggi Fortini s.r.l.",60,"Ernst Handel","Michael Suyama","Speedy Express"
515,1997-02-11,Tourtiere,Meat/Poultry,"Ma Maison",80,"Ernst Handel","Janet Leverling","United Package"
413,1997-01-02,Tunnbrod,Grains/Cereals,"PB Knackebrod AB",60,"Ernst Handel","Laura Callahan","United Package"
381,1996-12-23,Spegesild,Seafood,Lyngbysild,45,"Ernst Handel","Michael Suyama","Speedy Express"
277,1996-11-11,"Gula Malacca",Condiments,"Leka Trading",77,"Ernst Handel","Nancy Davolio","Speedy Express"
275,1996-11-11,"Cote de Blaye",Beverages,"Aux joyeux ecclesiastiques",20,"Ernst Handel","Nancy Davolio","Speedy Express"
47,1996-07-23,"Longlife Tofu",Produce,"Tokyo Traders",36,"Ernst Handel","Anne Dodsworth","Federal Shipping"
45,1996-07-23,"Guarana Fantastica",Beverages,"Refrescos Americanas LTDA",28,"Ernst Handel","Anne Dodsworth","Federal Shipping"
516,1997-02-11,"Louisiana Hot Spiced Okra",Condiments,"New Orleans Cajun Delights",60,"Ernst Handel","Janet Leverling","United Package"
514,1997-02-11,"Queso Cabrales","Dairy Products","Cooperativa de Quesos Las Cabras",30,"Ernst Handel","Janet Leverling","United Package"
353,1996-12-13,"Chef Antons Gumbo Mix",Condiments,"New Orleans Cajun Delights",32,"Ernst Handel","Margaret Peacock","Speedy Express"
31,1996-07-17,"Chef Antons Gumbo Mix",Condiments,"New Orleans Cajun Delights",65,"Ernst Handel","Nancy Davolio","Speedy Express"
30,1996-07-17,Chang,Beverages,"Exotic Liquid",50,"Ernst Handel","Nancy Davolio","Speedy Express"
367,1996-12-18,"Sasquatch Ale",Beverages,"Bigfoot Breweries",10,"Familia Arquibaldo","Anne Dodsworth","Federal Shipping"
269,1996-11-06,"Rhonbrau Klosterbier",Beverages,"Plutzer Lebensmittelgrossmarkte AG",6,"Familia Arquibaldo","Margaret Peacock","Federal Shipping"
268,1996-11-06,"Boston Crab Meat",Seafood,"New England Seafood Cannery",4,"Familia Arquibaldo","Margaret Peacock","Federal Shipping"
266,1996-11-06,"NuNuCa Nuss-Nougat-Creme",Confections,"Heli Susswaren GmbH and Co. KG",10,"Familia Arquibaldo","Margaret Peacock","Federal Shipping"
444,1997-01-14,Geitost,"Dairy Products","Norske Meierier",50,"Familia Arquibaldo","Andrew Fuller","Federal Shipping"
366,1996-12-18,"Guarana Fantastica",Beverages,"Refrescos Americanas LTDA",15,"Familia Arquibaldo","Anne Dodsworth","Federal Shipping"
443,1997-01-14,"Teatime Chocolate Biscuits",Confections,"Specialty Biscuits, Ltd.",18,"Familia Arquibaldo","Andrew Fuller","Federal Shipping"
267,1996-11-06,"Chartreuse verte",Beverages,"Aux joyeux ecclesiastiques",50,"Familia Arquibaldo","Margaret Peacock","Federal Shipping"
429,1997-01-08,"Gravad lax",Seafood,"Svensk Sjofoda AB",10,"Folies gourmandes","Laura Callahan","Speedy Express"
430,1997-01-08,Tourtiere,Meat/Poultry,"Ma Maison",6,"Folies gourmandes","Laura Callahan","Speedy Express"
431,1997-01-08,"Tarte au sucre",Confections,"Forets derables",35,"Folies gourmandes","Laura Callahan","Speedy Express"
211,1996-10-11,"Queso Cabrales","Dairy Products","Cooperativa de Quesos Las Cabras",50,"Folk och fa HB","Andrew Fuller","Speedy Express"
49,1996-07-24,"Jacks New England Clam Chowder",Seafood,"New England Seafood Cannery",25,"Folk och fa HB","Michael Suyama","Federal Shipping"
344,1996-12-10,Flotemysost,"Dairy Products","Norske Meierier",6,"Folk och fa HB","Steven Buchanan","Federal Shipping"
213,1996-10-11,"Escargots de Bourgogne",Seafood,"Escargots Nouveaux",30,"Folk och fa HB","Andrew Fuller","Speedy Express"
212,1996-10-11,"Nord-Ost Matjeshering",Seafood,"Nord-Ost-Fisch Handelsgesellschaft mbH",35,"Folk och fa HB","Andrew Fuller","Speedy Express"
492,1997-02-03,"Queso Cabrales","Dairy Products","Cooperativa de Quesos Las Cabras",6,"Folk och fa HB","Janet Leverling","United Package"
493,1997-02-03,Lakkalikoori,Beverages,"Karkki Oy",18,"Folk och fa HB","Janet Leverling","United Package"
210,1996-10-11,Chang,Beverages,"Exotic Liquid",25,"Folk och fa HB","Andrew Fuller","Speedy Express"
48,1996-07-24,Chang,Beverages,"Exotic Liquid",35,"Folk och fa HB","Michael Suyama","Federal Shipping"
253,1996-10-30,"Gorgonzola Telino","Dairy Products","Formaggi Fortini s.r.l.",56,Frankenversand,"Margaret Peacock","United Package"
240,1996-10-24,"Gravad lax",Seafood,"Svensk Sjofoda AB",28,Frankenversand,"Margaret Peacock","Federal Shipping"
397,1996-12-27,"Mozzarella di Giovanni","Dairy Products","Formaggi Fortini s.r.l.",21,Frankenversand,"Nancy Davolio","Federal Shipping"
241,1996-10-24,"Mozzarella di Giovanni","Dairy Products","Formaggi Fortini s.r.l.",25,Frankenversand,"Margaret Peacock","Federal Shipping"
55,1996-07-29,Lakkalikoori,Beverages,"Karkki Oy",15,Frankenversand,"Margaret Peacock","Speedy Express"
254,1996-10-30,"Inlagd Sill",Seafood,"Svensk Sjofoda AB",40,Frankenversand,"Margaret Peacock","United Package"
54,1996-07-29,"Raclette Courdavault","Dairy Products","Gai paturage",70,Frankenversand,"Margaret Peacock","Speedy Express"
53,1996-07-29,"Boston Crab Meat",Seafood,"New England Seafood Cannery",50,Frankenversand,"Margaret Peacock","Speedy Express"
396,1996-12-27,Flotemysost,"Dairy Products","Norske Meierier",60,Frankenversand,"Nancy Davolio","Federal Shipping"
237,1996-10-24,Tunnbrod,Grains/Cereals,"PB Knackebrod AB",40,Frankenversand,"Margaret Peacock","Federal Shipping"
255,1996-10-30,"Pate chinois",Meat/Poultry,"Ma Maison",40,Frankenversand,"Margaret Peacock","United Package"
395,1996-12-27,Tunnbrod,Grains/Cereals,"PB Knackebrod AB",40,Frankenversand,"Nancy Davolio","Federal Shipping"
239,1996-10-24,"Inlagd Sill",Seafood,"Svensk Sjofoda AB",20,Frankenversand,"Margaret Peacock","Federal Shipping"
238,1996-10-24,"Gumbar Gummibarchen",Confections,"Heli Susswaren GmbH and Co. KG",24,Frankenversand,"Margaret Peacock","Federal Shipping"
252,1996-10-30,Chang,Beverages,"Exotic Liquid",24,Frankenversand,"Margaret Peacock","United Package"
468,1997-01-22,"Gumbar Gummibarchen",Confections,"Heli Susswaren GmbH and Co. KG",2,"Franchi S.p.A.","Andrew Fuller","Speedy Express"
279,1996-11-12,"Guarana Fantastica",Beverages,"Refrescos Americanas LTDA",10,"Furia Bacalhau e Frutos do Mar","Janet Leverling","Federal Shipping"
216,1996-10-14,"Scottish Longbreads",Confections,"Specialty Biscuits, Ltd.",10,"Furia Bacalhau e Frutos do Mar","Margaret Peacock","Federal Shipping"
280,1996-11-12,Tourtiere,Meat/Poultry,"Ma Maison",20,"Furia Bacalhau e Frutos do Mar","Janet Leverling","Federal Shipping"
215,1996-10-14,"Louisiana Fiery Hot Pepper Sauce",Condiments,"New Orleans Cajun Delights",40,"Furia Bacalhau e Frutos do Mar","Margaret Peacock","Federal Shipping"
214,1996-10-14,"Raclette Courdavault","Dairy Products","Gai paturage",9,"Furia Bacalhau e Frutos do Mar","Margaret Peacock","Federal Shipping"
477,1997-01-27,"Wimmers gute Semmelknodel",Grains/Cereals,"Plutzer Lebensmittelgrossmarkte AG",7,"Galeria del gastronomo","Margaret Peacock","Speedy Express"
315,1996-11-28,"Louisiana Fiery Hot Pepper Sauce",Condiments,"New Orleans Cajun Delights",5,"Galeria del gastronomo","Laura Callahan","United Package"
476,1997-01-27,"Gnocchi di nonna Alice",Grains/Cereals,"Pasta Buttini s.r.l.",5,"Galeria del gastronomo","Margaret Peacock","Speedy Express"
316,1996-11-28,"Original Frankfurter grune Sosse",Condiments,"Plutzer Lebensmittelgrossmarkte AG",5,"Galeria del gastronomo","Laura Callahan","United Package"
149,1996-09-11,"Louisiana Fiery Hot Pepper Sauce",Condiments,"New Orleans Cajun Delights",30,"Godos Cocina Tipica","Robert King","United Package"
148,1996-09-11,"Boston Crab Meat",Seafood,"New England Seafood Cannery",40,"Godos Cocina Tipica","Robert King","United Package"
150,1996-09-11,"Scottish Longbreads",Confections,"Specialty Biscuits, Ltd.",15,"Godos Cocina Tipica","Robert King","United Package"
469,1997-01-23,"Gorgonzola Telino","Dairy Products","Formaggi Fortini s.r.l.",14,"Gourmet Lanchonetes","Michael Suyama","Federal Shipping"
470,1997-01-23,"Raclette Courdavault","Dairy Products","Gai paturage",20,"Gourmet Lanchonetes","Michael Suyama","Federal Shipping"
56,1996-07-30,"Thuringer Rostbratwurst",Meat/Poultry,"Plutzer Lebensmittelgrossmarkte AG",10,GROSELLA-Restaurante,"Laura Callahan","Federal Shipping"
57,1996-07-30,"Mozzarella di Giovanni","Dairy Products","Formaggi Fortini s.r.l.",4,GROSELLA-Restaurante,"Laura Callahan","Federal Shipping"
8,1996-07-08,"Louisiana Fiery Hot Pepper Sauce",Condiments,"New Orleans Cajun Delights",15,"Hanari Carnes","Margaret Peacock","United Package"
7,1996-07-08,"Manjimup Dried Apples",Produce,"Gday, Mate",35,"Hanari Carnes","Margaret Peacock","United Package"
6,1996-07-08,"Jacks New England Clam Chowder",Seafood,"New England Seafood Cannery",10,"Hanari Carnes","Margaret Peacock","United Package"
17,1996-07-10,Maxilaku,Confections,"Karkki Oy",40,"Hanari Carnes","Janet Leverling","United Package"
15,1996-07-10,"Gorgonzola Telino","Dairy Products","Formaggi Fortini s.r.l.",20,"Hanari Carnes","Janet Leverling","United Package"
16,1996-07-10,"Chartreuse verte",Beverages,"Aux joyeux ecclesiastiques",42,"Hanari Carnes","Janet Leverling","United Package"
393,1996-12-26,"Perth Pasties",Meat/Poultry,"Gday, Mate",70,HILARIoN-Abastos,"Michael Suyama","Speedy Express"
28,1996-07-16,"Chartreuse verte",Beverages,"Aux joyeux ecclesiastiques",6,HILARIoN-Abastos,"Margaret Peacock","Federal Shipping"
29,1996-07-16,"Original Frankfurter grune Sosse",Condiments,"Plutzer Lebensmittelgrossmarkte AG",15,HILARIoN-Abastos,"Margaret Peacock","Federal Shipping"
394,1996-12-26,Gudbrandsdalsost,"Dairy Products","Norske Meierier",8,HILARIoN-Abastos,"Michael Suyama","Speedy Express"
392,1996-12-26,Spegesild,Seafood,Lyngbysild,28,HILARIoN-Abastos,"Michael Suyama","Speedy Express"
27,1996-07-16,"Schoggi Schokolade",Confections,"Heli Susswaren GmbH and Co. KG",25,HILARIoN-Abastos,"Margaret Peacock","Federal Shipping"
445,1997-01-15,"Alice Mutton",Meat/Poultry,"Pavlova, Ltd.",2,"Hungry Coyote Import Store","Janet Leverling","Speedy Express"
340,1996-12-06,Tourtiere,Meat/Poultry,"Ma Maison",10,"Hungry Coyote Import Store","Janet Leverling","United Package"
390,1996-12-25,Konbu,Seafood,Mayumis,10,"Hungry Coyote Import Store","Nancy Davolio","Federal Shipping"
446,1997-01-15,Geitost,"Dairy Products","Norske Meierier",20,"Hungry Coyote Import Store","Janet Leverling","Speedy Express"
339,1996-12-06,Tofu,Produce,Mayumis,15,"Hungry Coyote Import Store","Janet Leverling","United Package"
391,1996-12-25,"Tarte au sucre",Confections,"Forets derables",10,"Hungry Coyote Import Store","Nancy Davolio","Federal Shipping"
335,1996-12-05,"Escargots de Bourgogne",Seafood,"Escargots Nouveaux",80,"Hungry Owl All-Night Grocers","Margaret Peacock","Federal Shipping"
165,1996-09-19,"Grandmas Boysenberry Spread",Condiments,"Grandma Kellys Homestead",30,"Hungry Owl All-Night Grocers","Janet Leverling","Speedy Express"
351,1996-12-12,"Outback Lager",Beverages,"Pavlova, Ltd.",30,"Hungry Owl All-Night Grocers","Laura Callahan","Federal Shipping"
336,1996-12-05,Flotemysost,"Dairy Products","Norske Meierier",50,"Hungry Owl All-Night Grocers","Margaret Peacock","Federal Shipping"
234,1996-10-22,"Mascarpone Fabioli","Dairy Products","Formaggi Fortini s.r.l.",6,"Hungry Owl All-Night Grocers","Robert King","United Package"
168,1996-09-19,Flotemysost,"Dairy Products","Norske Meierier",3,"Hungry Owl All-Night Grocers","Janet Leverling","Speedy Express"
348,1996-12-12,"Nord-Ost Matjeshering",Seafood,"Nord-Ost-Fisch Handelsgesellschaft mbH",18,"Hungry Owl All-Night Grocers","Laura Callahan","Federal Shipping"
138,1996-09-05,"Tarte au sucre",Confections,"Forets derables",15,"Hungry Owl All-Night Grocers","Michael Suyama","United Package"
136,1996-09-05,"Inlagd Sill",Seafood,"Svensk Sjofoda AB",40,"Hungry Owl All-Night Grocers","Michael Suyama","United Package"
480,1997-01-29,"Valkoinen suklaa",Confections,"Karkki Oy",40,"Hungry Owl All-Night Grocers","Janet Leverling","United Package"
350,1996-12-12,"Camembert Pierrot","Dairy Products","Gai paturage",6,"Hungry Owl All-Night Grocers","Laura Callahan","Federal Shipping"
166,1996-09-19,"Singaporean Hokkien Fried Mee",Grains/Cereals,"Leka Trading",2,"Hungry Owl All-Night Grocers","Janet Leverling","Speedy Express"
137,1996-09-05,"Raclette Courdavault","Dairy Products","Gai paturage",30,"Hungry Owl All-Night Grocers","Michael Suyama","United Package"
349,1996-12-12,"Perth Pasties",Meat/Poultry,"Gday, Mate",20,"Hungry Owl All-Night Grocers","Laura Callahan","Federal Shipping"
235,1996-10-22,"Manjimup Dried Apples",Produce,"Gday, Mate",48,"Hungry Owl All-Night Grocers","Robert King","United Package"
481,1997-01-29,Vegie-spread,Condiments,"Pavlova, Ltd.",35,"Hungry Owl All-Night Grocers","Janet Leverling","United Package"
